Database,,,,,,,,,,,,,,,,,,,,,,
8_Toppo_19,8,19,5,1,,,"What is steam?\n\nThe temperature of steam is 100 degrees celsius, and the temperature of liquid water is 25 degrees celsius. When liquid water is heated the molecules move faster turing the water into steam. Steam is gaseous water.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},1012.069;484.2814
8_Toppo_20,8,20,5,1,,,"What happens to the molecules of a match when the match is burned?\n\nWhen burning a match the molecules that make up the match are not destroyed. The mass of the unburned match is 2 grams, the mass of the burned match is 1.75 grams. When burning the match some of the molecules that make up the match are turned into smoke or gas that can no longer be measured.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},1012.069;534.2814
8_Toppo_21,8,21,5,1,,,"What determines how fast a ball can travel?\n\nOne ball has a mass of 10 grams another ball has a mass of 15 grams, and both balls were thrown with the same force. Since the heavier ball is made of more molecules it requires more force to move. The mass of a ball can determine how fast it travels.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},1012.069;584.2814
30_DANI_50,30,50,2,1,,,"This menu provides you with a space to see your chat history, construct scientific arguments, ask for help, and more. This concludes the DANI Menu review. Please close the menu.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},542.5197;556.5129
108_Player_4,108,4,1,5,Multiple Evidence,,,True,Block,Normal,"(Variable[""argClaimID""] == ""I"") and string.len(Variable[""argEvidenceID""]) > 1",,,[],,,[],,{{omit}},{{omit}},{{omit}},598.6158;110.2468
108_Toppo_32,108,32,5,1,Reasoning 1,,"Your claim and evidence are aligned with your reasoning statement. However, you are restating Aryn’s claim. We are pretty sure this is incorrect. Try building an argument that doesn't align with what Aryn says.",False,Block,Normal,"(Variable[""argReasoningID""] == ""1"") and (Variable[""argSpecificFeedback""] == false)",,,[],,,[],,{{omit}},{{omit}},{{omit}},1000.437;529.0137
108_Toppo_37,108,37,5,1,Any Single Reasoning,,"You are restating Aryn’s claim. Since we collected evidence that water disappeared for natural reasons, try building an argument that doesn't align with what Aryn says.",False,Block,Normal,"string.len(Variable[""argReasoningID""])< 2 and Variable[""argSpecificFeedback""] == false",,,[],,,[],,{{omit}},{{omit}},{{omit}},1007.055;86.99979
108_Toppo_52,108,52,5,1,Correct,,Great Job Cadet!!! You have made the best argument possible.,False,Block,Normal,"Variable[""argReasoningID""] == ""3"" and (Variable[""argSpecificFeedback""] == true)",,,{{omit}},,{{omit}},{{omit}},{{omit}},,{{omit}},{{omit}},1026.452;1781.964
108_Toppo_53,108,53,5,1,Multiple Reasoning,,Your argument contains too many reasoning statements. Select one reasoning statement that explains why your evidence supports your claim.,False,Block,Normal,"string.len(Variable[""argReasoningID""]) > 2 and (Variable[""argSpecificFeedback""] == true)",,,[],,,[],,{{omit}},{{omit}},{{omit}},1031.567;1126.652
108_Toppo_54,108,54,5,1,Reasoning 3 + 4,,Your reasoning statements are redundant. Make sure your reasoning explains why your evidence supports your claim.,False,Block,Normal,"Variable[""argReasoningID""] == ""3,4"" and (Variable[""argSpecificFeedback""] == false)",,,{{omit}},Reasoning 3 + 4,{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},1025.636;1594.044
108_Toppo_61,108,61,5,1,Reasoning 2,,Your reasoning does not describe how water behaves in nature. Are you sure the water is being transformed into salt? \n,False,Block,Normal,"Variable[""argReasoningID""] == ""2"" and (Variable[""argSpecificFeedback""] == false)",,,{{omit}},,{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},1023.194;2432.436
108_Toppo_62,108,62,5,1,Reasoning 2,,"Your claim and evidence makes sense, but your reasoning does not match the rest of your argument. Try using a different reasoning. \n",False,Block,Normal,"Variable[""argReasoningID""] == ""2"" and (Variable[""argSpecificFeedback""] == true)",,,{{omit}},,{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},1018.418;2488.058
108_Toppo_65,108,65,5,1,Reasoning 4,,"Your argument is very close to ideal, but your reasoning should connect all of your pieces of evidence with your claim. ",False,Block,Normal,"Variable[""argReasoningID""] == ""4"" and (Variable[""argSpecificFeedback""] == false)",,,{{omit}},,{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},1024.293;2673.822
108_Toppo_72,108,72,5,1,Multiple Reasoning,,"You are restating Aryn’s claim. Since we collected evidence that water disappeared for natural reasons, try building an argument that doesn't align with what Aryn says.",False,Block,Normal,"string.len(Variable[""argReasoningID""]) > 1 and Variable[""argSpecificFeedback""] == false",,,[],,,[],,{{omit}},{{omit}},{{omit}},1004.011;204.0538
108_Toppo_74,108,74,5,1,Multiple Reasoning,,"You are restating Aryn’s claim. Since we collected evidence that water disappeared for natural reasons, try building an argument that doesn't align with what Aryn says.",False,Block,Normal,"Variable[""argSpecificFeedback""] == false",,,[],,,[],,{{omit}},{{omit}},{{omit}},1005.041;327.0266
108_Toppo_76,108,76,5,1,"Reasoning 2, 3 or 4",,Your claim and evidence are not aligned with your reasoning. You are restating Aryn’s claim. We are pretty sure this is incorrect. Try using another claim.,False,Block,Normal,"(Variable[""argReasoningID""] ~= ""1"") and \nstring.len(Variable[""argReasoningID""]) < 2 and \n(Variable[""argSpecificFeedback""] == true)",,,[],,,[],,{{omit}},{{omit}},{{omit}},1002.674;708.967
108_Toppo_79,108,79,5,1,Any Single Reasoning,,Your claim and evidence are not aligned. You are restating Aryn’s claim. We are pretty sure this is incorrect. Try using another claim.,False,Block,Normal,"string.len(Variable[""argReasoningID""]) < 2 and Variable[""argSpecificFeedback""] == true",,,{{omit}},,{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},{{omit}},990.8134;885.4828
108_Player_81,108,81,1,5,Evidence A,,,True,Block,Normal,"Variable[""argClaimID""] == ""II"" and \nVariable[""argEvidenceID""] == ""A"" and (Variable[""argReasoningID""] ~= """") and string.len(Variable[""argReasoningID""]) < 2",,,[],,,[],,{{omit}},{{omit}},{{omit}},620.223;1335.831
108_Toppo_83,108,83,5,1,Any Single Reasoning,,Your claim sounds good. Try using a different piece of evidence.,False,Block,Normal,"(Variable[""argSpecificFeedback""] == true)",,,[],,,[],,{{omit}},{{omit}},{{omit}},1037.448;1369.237
8,8,8,12,Normal,,,,,,,,,,,,,,,,,,
